date,sales
2022-07-28,2435
2022-07-29,2440
2022-07-30,2444
2022-07-31,2449
2022-08-01,2453
2022-08-02,2457
2022-08-03,2462
2022-08-04,2466
2022-08-05,2471
2022-08-06,2475
2022-08-07,2480
2022-08-08,2484
2022-08-09,2488
2022-08-10,2493
2022-08-11,2497
2022-08-12,2501
2022-08-13,2506
2022-08-14,2510
2022-08-15,2515
2022-08-16,2519
2022-08-17,2523
2022-08-18,2528
2022-08-19,2532
2022-08-20,2536
2022-08-21,2541
2022-08-22,2545
2022-08-23,2549
2022-08-24,2553
2022-08-25,2558
2022-08-26,2562
2022-08-27,2566
2022-08-28,2571
2022-08-29,2575
2022-08-30,2579
2022-08-31,2584
2022-09-01,2588
2022-09-02,2592
2022-09-03,2596
2022-09-04,2601
2022-09-05,2605
2022-09-06,2609
2022-09-07,2613
2022-09-08,2618
2022-09-09,2622
2022-09-10,2626
2022-09-11,2630
2022-09-12,2634
2022-09-13,2639
2022-09-14,2643
2022-09-15,2647
2022-09-16,2651
2022-09-17,2655
2022-09-18,2660
2022-09-19,2664
2022-09-20,2668
2022-09-21,2672
2022-09-22,2676
2022-09-23,2681
2022-09-24,2685
2022-09-25,2689
2022-09-26,2693
2022-09-27,2697
2022-09-28,2701
2022-09-29,2706
2022-09-30,2710
2022-10-01,2714
2022-10-02,2718
2022-10-03,2722
2022-10-04,2726
2022-10-05,2730
2022-10-06,2734
2022-10-07,2739
2022-10-08,2743
2022-10-09,2747
2022-10-10,2751
2022-10-11,2755
2022-10-12,2759
2022-10-13,2763
2022-10-14,2767
2022-10-15,2771
2022-10-16,2776
2022-10-17,2780
2022-10-18,2784
2022-10-19,2788
2022-10-20,2792
2022-10-21,2796
2022-10-22,2800
2022-10-23,2804
2022-10-24,2808
2022-10-25,2812
2022-10-26,2816
2022-10-27,2820
2022-10-28,2824
2022-10-29,2828
2022-10-30,2832
2022-10-31,2836
2022-11-01,2840
2022-11-02,2844
2022-11-03,2848
2022-11-04,2852
2022-11-05,2856
2022-11-06,2860
2022-11-07,2864
2022-11-08,2868
2022-11-09,2872
2022-11-10,2876
2022-11-11,2880
2022-11-12,2884
2022-11-13,2888
2022-11-14,2892
2022-11-15,2896
2022-11-16,2900
2022-11-17,2904
2022-11-18,2908
2022-11-19,2912
2022-11-20,2916
2022-11-21,2920
2022-11-22,2924
2022-11-23,2928
2022-11-24,2932
2022-11-25,2936
2022-11-26,2940
2022-11-27,2944
2022-11-28,2948
2022-11-29,2952
2022-11-30,2956
2022-12-01,2960
2022-12-02,2964
2022-12-03,2968
2022-12-04,2972
2022-12-05,2976
2022-12-06,2979
2022-12-07,2983
2022-12-08,2987
2022-12-09,2991
2022-12-10,2995
2022-12-11,2999
2022-12-12,3003
2022-12-13,3007
2022-12-14,3011
2022-12-15,3015
2022-12-16,3018
2022-12-17,3022
2022-12-18,3026
2022-12-19,3030
2022-12-20,3034
2022-12-21,3038
2022-12-22,3042
2022-12-23,3046
2022-12-24,3050
2022-12-25,3053
2022-12-26,3057
2022-12-27,3061
2022-12-28,3065
2022-12-29,3069
2022-12-30,3073
2022-12-31,3077
2023-01-01,3080
2023-01-02,3084
2023-01-03,3088
2023-01-04,3092
2023-01-05,3096
2023-01-06,3100
2023-01-07,3103
2023-01-08,3107
2023-01-09,3111
2023-01-10,3115
2023-01-11,3119
2023-01-12,3123
2023-01-13,3126
2023-01-14,3130
2023-01-15,3134
2023-01-16,3138
2023-01-17,3142
2023-01-18,3146
2023-01-19,3149
2023-01-20,3153
2023-01-21,3157
2023-01-22,3161
2023-01-23,3165
2023-01-24,3168
2023-01-25,3172
2023-01-26,3176
2023-01-27,3180
2023-01-28,3184
2023-01-29,3187
2023-01-30,3191
2023-01-31,3195
2023-02-01,3199
2023-02-02,3202
2023-02-03,3206
2023-02-04,3210
2023-02-05,3214
2023-02-06,3217
2023-02-07,3221
2023-02-08,3225
2023-02-09,3229
2023-02-10,3233
2023-02-11,3236
2023-02-12,3240
2023-02-13,3244
2023-02-14,3248
2023-02-15,3251
2023-02-16,3255
2023-02-17,3259
2023-02-18,3263
2023-02-19,3266
2023-02-20,3270
2023-02-21,3274
2023-02-22,3277
2023-02-23,3281
2023-02-24,3285
2023-02-25,3289
2023-02-26,3292
2023-02-27,3296
2023-02-28,3300
2023-03-01,3304
2023-03-02,3307
2023-03-03,3311
2023-03-04,3315
2023-03-05,3318
2023-03-06,3322
2023-03-07,3326
2023-03-08,3329
2023-03-09,3333
2023-03-10,3337
2023-03-11,3341
2023-03-12,3344
2023-03-13,3348
2023-03-14,3352
2023-03-15,3355
2023-03-16,3359
2023-03-17,3363
2023-03-18,3366
2023-03-19,3370
2023-03-20,3374
2023-03-21,3377
2023-03-22,3381
2023-03-23,3385
2023-03-24,3388
2023-03-25,3392
2023-03-26,3396
2023-03-27,3400
2023-03-28,3403
2023-03-29,3407
2023-03-30,3410
2023-03-31,3414
2023-04-01,3418
2023-04-02,3421
2023-04-03,3425
2023-04-04,3429
2023-04-05,3432
2023-04-06,3436
2023-04-07,3440
2023-04-08,3443
2023-04-09,3447
2023-04-10,3451
2023-04-11,3454
2023-04-12,3458
2023-04-13,3462
2023-04-14,3465
2023-04-15,3469
2023-04-16,3472
2023-04-17,3476
2023-04-18,3480
2023-04-19,3483
2023-04-20,3487
2023-04-21,3491
2023-04-22,3494
2023-04-23,3498
2023-04-24,3501
2023-04-25,3505
2023-04-26,3509
2023-04-27,3512
2023-04-28,3516
2023-04-29,3520
2023-04-30,3523
2023-05-01,3527
2023-05-02,3530
2023-05-03,3534
2023-05-04,3538
2023-05-05,3541
2023-05-06,3545
2023-05-07,3548
2023-05-08,3552
2023-05-09,3556
2023-05-10,3559
2023-05-11,3563
2023-05-12,3566
2023-05-13,3570
2023-05-14,3573
2023-05-15,3577
2023-05-16,3581
2023-05-17,3584
2023-05-18,3588
2023-05-19,3591
2023-05-20,3595
2023-05-21,3599
2023-05-22,3602
2023-05-23,3606
2023-05-24,3609
2023-05-25,3613
2023-05-26,3616
2023-05-27,3620
2023-05-28,3624
2023-05-29,3627
2023-05-30,3631
2023-05-31,3634
2023-06-01,3638
2023-06-02,3641
2023-06-03,3645
2023-06-04,3648
2023-06-05,3652
2023-06-06,3656
2023-06-07,3659
2023-06-08,3663
2023-06-09,3666
2023-06-10,3670
2023-06-11,3673
2023-06-12,3677
2023-06-13,3680
2023-06-14,3684
2023-06-15,3687
2023-06-16,3691
2023-06-17,3694
2023-06-18,3698
2023-06-19,3702
2023-06-20,3705
2023-06-21,3709
2023-06-22,3712
2023-06-23,3716
2023-06-24,3719
2023-06-25,3723
2023-06-26,3726
2023-06-27,3730
2023-06-28,3733
2023-06-29,3737
2023-06-30,3740
2023-07-01,3744
2023-07-02,3747
2023-07-03,3751
2023-07-04,3754
2023-07-05,3758
2023-07-06,3761
2023-07-07,3765
2023-07-08,3768
2023-07-09,3772
2023-07-10,3775
2023-07-11,3779
2023-07-12,3782
2023-07-13,3786
2023-07-14,3789
2023-07-15,3793
2023-07-16,3796
2023-07-17,3800
2023-07-18,3803
2023-07-19,3807
2023-07-20,3810
2023-07-21,3814
2023-07-22,3817
2023-07-23,3821
2023-07-24,3824
2023-07-25,3828
2023-07-26,3831
2023-07-27,3835
2023-07-28,3838
2023-07-29,3842
2023-07-30,3845
2023-07-31,3849
2023-08-01,3852
2023-08-02,3856
2023-08-03,3859
2023-08-04,3862
2023-08-05,3866
2023-08-06,3869
2023-08-07,3873
2023-08-08,3876
2023-08-09,3880
2023-08-10,3883
2023-08-11,3887
2023-08-12,3890
2023-08-13,3894
2023-08-14,3897
2023-08-15,3901
2023-08-16,3904
2023-08-17,3907
2023-08-18,3911
2023-08-19,3914
2023-08-20,3918
2023-08-21,3921
2023-08-22,3925
2023-08-23,3928
2023-08-24,3932
2023-08-25,3935
2023-08-26,3938
2023-08-27,3942
2023-08-28,3945
2023-08-29,3949
2023-08-30,3952
2023-08-31,3956
2023-09-01,3959
2023-09-02,3962
2023-09-03,3966
2023-09-04,3969
2023-09-05,3973
2023-09-06,3976
2023-09-07,3980
2023-09-08,3983
2023-09-09,3986
2023-09-10,3990
2023-09-11,3993
2023-09-12,3997
2023-09-13,4000
2023-09-14,4004
2023-09-15,4007
2023-09-16,4010
2023-09-17,4014
2023-09-18,4017
2023-09-19,4021
2023-09-20,4024
2023-09-21,4028
2023-09-22,4031
2023-09-23,4034
2023-09-24,4038
2023-09-25,4041
2023-09-26,4045
2023-09-27,4048
2023-09-28,4051
2023-09-29,4055
2023-09-30,4058
2023-10-01,4062
2023-10-02,4065
2023-10-03,4068
2023-10-04,4072
2023-10-05,4075
2023-10-06,4079
2023-10-07,4082
2023-10-08,4085
2023-10-09,4089
2023-10-10,4092
2023-10-11,4096
2023-10-12,4099
2023-10-13,4102
2023-10-14,4106
2023-10-15,4109
2023-10-16,4112
2023-10-17,4116
2023-10-18,4119
2023-10-19,4123
2023-10-20,4126
2023-10-21,4129
2023-10-22,4133
2023-10-23,4136
2023-10-24,4139
2023-10-25,4143
2023-10-26,4146
2023-10-27,4150
2023-10-28,4153
2023-10-29,4156
2023-10-30,4160
2023-10-31,4163
2023-11-01,4166
2023-11-02,4170
2023-11-03,4173
2023-11-04,4177
2023-11-05,4180
2023-11-06,4183
2023-11-07,4187
2023-11-08,4190
2023-11-09,4193
2023-11-10,4197
2023-11-11,4200
2023-11-12,4203
2023-11-13,4207
2023-11-14,4210
2023-11-15,4213
2023-11-16,4217
2023-11-17,4220
2023-11-18,4224
2023-11-19,4227
2023-11-20,4230
2023-11-21,4234
2023-11-22,4237
2023-11-23,4240
2023-11-24,4244
2023-11-25,4247
2023-11-26,4250
2023-11-27,4254
2023-11-28,4257
2023-11-29,4260
2023-11-30,4264
2023-12-01,4267
2023-12-02,4270
2023-12-03,4274
2023-12-04,4277
2023-12-05,4280
2023-12-06,4284
2023-12-07,4287
2023-12-08,4290
2023-12-09,4294
2023-12-10,4297
2023-12-11,4300
2023-12-12,4304
2023-12-13,4307
2023-12-14,4310
2023-12-15,4314
2023-12-16,4317
2023-12-17,4320
2023-12-18,4324
2023-12-19,4327
2023-12-20,4330
2023-12-21,4334
2023-12-22,4337
2023-12-23,4340
2023-12-24,4344
2023-12-25,4347
2023-12-26,4350
2023-12-27,4353
2023-12-28,4357
2023-12-29,4360
2023-12-30,4363
2023-12-31,4367
